Title,Link,Price,Product Rating,Reviewer Count
"Pringles Snack Stacks Variety Pack Potato Crisps Chips, Lunch Snacks, 27 Count",https://www.walmart.com/sp/track?bt=1&eventST=click&plmt=sp-search-middle~desktop~&pos=1&tax=976759_976791_5295075_8609714&rdf=1&rd=https%3A%2F%2Fwww.walmart.com%2Fip%2FPringles-Prg-27ct-6-Flavor-Snack-Stack%2F453387822%3FclassType%3DVARIANT%26adsRedirect%3Dtrue&adUid=2bbffea1-7ac5-4f8f-8d3c-b2e4bccdf25c&mloc=sp-search-middle&pltfm=desktop&pgId=groceries&pt=search&spQs=SN0_mq3677KuNC6xavQ_pe-jh2DkIKEmCfU7jEwQz2fD6MnlrCMk7ZpUtQvasqR9Jm5AY-1Yb7BsG8DvHjcyB-JexEE9Bbwn2VXBEupkXI0yX6d-0KGnzsZ5BCQRu8x4vjWSRBdkJoklnApbihvpFcfvWwkYBuwygbXPL1nR-c96EoSlkm_LeE-ZQuql-Fj1b6fOI22j5pRBlbcoqeNDeP9CW0sfUJZnqA0mzTgxc4I&storeId=3081&couponState=na&bkt=ace1_default%7Cace2_11175%7Cace3_11178%7Ccoldstart_off%7Csearch_default&classType=VARIANT,$13.98,4.3,1058
"Cinnamon Toast Crunch Breakfast Cereal, Crispy Cinnamon Cereal, Value Bag, 32 oz",https://www.walmart.com/sp/track?bt=1&eventST=click&plmt=sp-search-middle~desktop~&pos=2&tax=976759_976791_5295075_8609714&rdf=1&rd=https%3A%2F%2Fwww.walmart.com%2Fip%2FCinnamon-Toast-Crunch-Breakfast-Cereal-Crispy-Cinnamon-Cereal-Value-Bag-32-oz%2F575993182%3FclassType%3DVARIANT%26adsRedirect%3Dtrue&adUid=2bbffea1-7ac5-4f8f-8d3c-b2e4bccdf25c&mloc=sp-search-middle&pltfm=desktop&pgId=groceries&pt=search&spQs=_PeHZAmGGF0_y0SW7_SCzzHNKc7XYMjzYPoNPtBtNG2P9-D4sSYdNgZoZi20zMhrnpzRul0pZwYGIJahi-YQg0ikgVTG5kK3c48_LnWjFeHBW8gE8wpIE6k46l3DHma8VYevxsTye1QKXub9nJ9zVu0m0wLI7GfPChaNqu2MAEIv7Yz4KeZ_dXPLm1F2uLUVnra-uaPHgTRSGRbgUnvs9otj8J8AFdFchw9wJTiBfhc3ZRMT-DEE4YKu3ALPru_t278TJgAId24vtQ3taxyPgA&storeId=3081&couponState=na&bkt=ace1_default%7Cace2_11175%7Cace3_11178%7Ccoldstart_off%7Csearch_default&classType=VARIANT,$6.77,4.7,4897
Avocado Toast- Salt & Pepper,https://www.walmart.com/sp/track?bt=1&eventST=click&plmt=sp-search-middle~desktop~&pos=3&tax=976759_976791_5295075_8609714&rdf=1&rd=https%3A%2F%2Fwww.walmart.com%2Fip%2FCrunchmaster-Gluten-Free-Crunchy-Avocado-Toast-Salt-Pepper-Crackers-3-54-oz%2F311539494%3FclassType%3DREGULAR%26adsRedirect%3Dtrue&adUid=2bbffea1-7ac5-4f8f-8d3c-b2e4bccdf25c&mloc=sp-search-middle&pltfm=desktop&pgId=groceries&pt=search&spQs=GIwySSGAWroFINI54XTQH1P0hYVF4FeqI7JNEV-bPcv-FNc6hzdtWOmR39-ctw3sVzJUH_nLODjQzeJMShzwMQdsRve3Vq2SC1BqiSHdjmmbajKlrhoESsaDGNZFIKKvObM5tHF4BSFibdH4GmMeXJqH_jhWyg0i1XvP8OhF6YOLY_CfABXRXIcPcCU4gX4XN2UTE_gxBOGCrtwCz67v7du_EyYACHduL7UN7Wscj4A&storeId=3081&couponState=na&bkt=ace1_default%7Cace2_11175%7Cace3_11178%7Ccoldstart_off%7Csearch_default&classType=REGULAR,$3.12,4.6,1783
"Austin Peanut Butter on Cheese Sandwich Crackers, Single Serve Snack Crackers, 20 Count",https://www.walmart.com/sp/track?bt=1&eventST=click&plmt=sp-search-middle~desktop~&pos=4&tax=976759_976791_5295075_8609714&rdf=1&rd=https%3A%2F%2Fwww.walmart.com%2Fip%2FAustin-Peanut-Butter-on-Cheese-Sandwich-Crackers-Single-Serve-Snack-Crackers-20-Count%2F1837462801%3FclassType%3DREGULAR%26adsRedirect%3Dtrue&adUid=2bbffea1-7ac5-4f8f-8d3c-b2e4bccdf25c&mloc=sp-search-middle&pltfm=desktop&pgId=groceries&pt=search&spQs=K1ISTOrEkBcRQEeoSvUwNkM-duIMI5yavRmjGTQlU_hpQx3hVgmdA63GSpWEDL9JiWhwnMVMHEC9wA5s1KVw8uoXh01GNiLB6ZhnTprRDS01J_vEryn2KDd7USBQgilk3TmIjp9UgaZvIA0NfDBT8W8Zc-9pLk3344tnFkfsdBOod5lpfzxoFdwk9t5Vd4yLXYYCjM656y_inA2jBouMCjpYWCu3O7wF62cHVmX9zos&storeId=3081&couponState=na&bkt=ace1_default%7Cace2_11175%7Cace3_11178%7Ccoldstart_off%7Csearch_default&classType=REGULAR,$6.84,3,62
"Great Value Purified Drinking Water, 16.9 fl oz Bottles, 40 Count",https://www.walmart.com/ip/Great-Value-Purified-Drinking-Water-16-9-fl-oz-Bottles-40-Count/992524020?classType=VARIANT&athbdg=L1600&from=/search,$5.63,3.5,11915
"Fresh Banana, Each",https://www.walmart.com/ip/Fresh-Banana-Fruit-Each/44390948?classType=REGULAR&athbdg=L1600&from=/search,$0.26,No rating,No reviews
"Great Value Whole Vitamin D Milk, Gallon, Plastic, Jug, 128 Fl Oz",https://www.walmart.com/ip/Great-Value-Milk-Whole-Vitamin-D-Gallon-Plastic-Jug/10450114?classType=REGULAR&athbdg=L1600&from=/search,$4.02,No rating,No reviews
"Great Value Frozen Broccoli Florets, 12 oz Steamable Bag",https://www.walmart.com/ip/Great-Value-Frozen-Broccoli-Florets-12-oz-Steamable-Bag/735585383?classType=REGULAR&athbdg=L1600&from=/search,$1.16,No rating,No reviews
"Great Value Fully Cooked Chicken Nuggets, 32 oz (Frozen)",https://www.walmart.com/ip/Great-Value-Fully-Cooked-Chicken-Nuggets-32-oz-Frozen/51259447?classType=REGULAR&from=/search,$5.97,No rating,No reviews
"Pringles Snack Stacks Variety Pack Potato Crisps Chips, Lunch Snacks, 27 Count",https://www.walmart.com/sp/track?bt=1&eventST=click&plmt=sp-search-middle~desktop~&pos=1&tax=976759_976791_5295075_8609714&rdf=1&rd=https%3A%2F%2Fwww.walmart.com%2Fip%2FPringles-Prg-27ct-6-Flavor-Snack-Stack%2F453387822%3FclassType%3DVARIANT%26adsRedirect%3Dtrue&adUid=d5107694-cea2-4117-be7c-770efa4214ce&mloc=sp-search-middle&pltfm=desktop&pgId=groceries&pt=search&spQs=SN0_mq3677KuNC6xavQ_pe-jh2DkIKEmCfU7jEwQz2fD6MnlrCMk7ZpUtQvasqR9KD6ygHF5K9aoKKry8Fjxh7Q0mJgxYXIJoHJ2IeIMPAnGCNRjneReT0NPwkKsYpT9I79ot1ptS-gy8MNH0J6I_tIKY-GcN1da3jPgF_-eELx6EoSlkm_LeE-ZQuql-Fj1b6fOI22j5pRBlbcoqeNDeP9CW0sfUJZnqA0mzTgxc4I&storeId=3081&couponState=na&bkt=ace1_default%7Cace2_11183%7Cace3_11186%7Ccoldstart_on%7Csearch_browse_limited_vip_pinning%7Csearch_hudson_latency_price_rweb&classType=VARIANT,$13.98,4.3,1058
"CHIPS AHOY! Original Chocolate Chip Cookies, Party Size, 25.3 oz",https://www.walmart.com/sp/track?bt=1&eventST=click&plmt=sp-search-middle~desktop~&pos=2&tax=976759_976791_5295075_8609714&rdf=1&rd=https%3A%2F%2Fwww.walmart.com%2Fip%2FChips-Ahoy-Original-Chewy-Cookies-Party-Size-25-3-Oz%2F214636036%3FclassType%3DVARIANT%26adsRedirect%3Dtrue&adUid=d5107694-cea2-4117-be7c-770efa4214ce&mloc=sp-search-middle&pltfm=desktop&pgId=groceries&pt=search&spQs=ahIn2gayP1XvtSlDuPYTNXkyNWZ1QpIewWK9LxzGFETPj_RyBOlsxrb0z1oWp_Ktf32R9eqqMv395ljI24y9nYHkAncxta3T0iOARe2ZJkkee28t8wYZLuCmRAkFnB7v4Lf2XOAa2Wcpx1BSwTO087T9lTELCd0gQt-lgxXN2auLY_CfABXRXIcPcCU4gX4XN2UTE_gxBOGCrtwCz67v7du_EyYACHduL7UN7Wscj4A&storeId=3081&couponState=na&bkt=ace1_default%7Cace2_11183%7Cace3_11186%7Ccoldstart_on%7Csearch_browse_limited_vip_pinning%7Csearch_hudson_latency_price_rweb&classType=VARIANT,$5.28,4.2,740
Little Debbie Family Pack Oatmeal Creme Pies,https://www.walmart.com/ip/Snack-Cakes-Little-Debbie-Family-Pack-Oatmeal-Creme-Pies/10295206?classType=REGULAR&athbdg=L1600&from=/search,$2.68,No rating,No reviews
"Doritos Nacho Cheese Tortilla Snack Chips,Party Size, 14.5 Ounce Bag",https://www.walmart.com/ip/Doritos-Nacho-Cheese-Tortilla-Snack-Chips-Party-Size-14-5-oz-Bag/433078517?classType=VARIANT&athbdg=L1600&from=/search,$5.94,3.6,986
